State,count,Region
SD,39,MW
VT,52,NE
WY,54,MT
AK,57,P
ND,59,MW
MT,67,WE
DC,70,NE
RI,124,NE
ID,132,MT
HI,133,P
DE,138,NE
ME,145,NE
NE,155,MW
NH,158,NE
WV,175,S
UT,185,MT
IA,194,MW
NM,209,WE
KS,244,MW
OR,331,P
MS,340,S
OK,349,S
KY,381,S
AR,395,S
MN,397,MW
WI,408,MW
CT,411,NE
NV,492,MT
WA,495,P
SC,504,S
MO,516,MW
AL,525,S
LA,548,S
MI,617,MW
MA,656,NE
IN,690,MW
MD,717,NE
TN,719,S
VA,806,S
CO,886,MT
NJ,926,NE
IL,1148,MW
PA,1153,NE
AZ,1160,MT
OH,1172,MW
NC,1185,S
GA,1361,S
NY,1504,NE
FL,2528,S
TX,3256,S
CA,3664,P